"date","city","state","shape","duration","summary","posted"
"2/12/05 18:27","Nausau (Bahamas)",NA,"","","the object was noted on examining the picture only.No eyewitness suspicion at the time of the event.","5/11/05"
"2/12/05 08:30","London (UK/England)",NA,"Cigar","5 seconds","Sighting of glowing object above clouds.","2/22/05"
"2/11/05 00:00","Calarca (Colombia)",NA,"Sphere","30 sundos","esfera brillante","3/10/11"
"2/10/05 22:35","UK/England",NA,"Light","10mins","glowing orb of light low down in the sky moving very oddly emmiting no noise what so ever!!!","4/16/05"
"2/10/05","Arbroath (UK/Scotland)",NA,"Circle","10 minutes","white lighted circular craft that moved at speed and was behind clouds","10/11/05"
"2/7/05 23:40","Nottingham (UK/England)",NA,"Triangle","10-20 seconds","23:40 Monday 7th Feb 05 - Black triangular craft seen moving across night sky and rising vertically before vanishing.","2/8/05"
"2/7/05 19:00","Nogales (Chile)",NA,"Cylinder","a few seconds","i saw one object crossing the sky when i was swimming in my pool it was flying really fast it and left a trail behind","2/8/05"
"2/7/05 14:00","Hanworth (Middlesex) (UK/England)",NA,"Oval","1hr +","oval in shape displaying images and moving at great speed","8/12/08"
"2/5/05 21:45","Morden, Surrey (UK/England)",NA,"Unknown","unknown","Strange object caught on camera","5/24/05"
"2/5/05 06:00","Cashel (Republic of Ireland)",NA,"","2 mins","3 strong lights that faded out when approached by fighter jets","2/8/05"
"2/4/05 12:00","Tulum (ancient city) (Mexioc)",NA,"Disk","?","Saucer over Tulum Ruins","2/22/05"
"2/3/05 18:00","Sheffield (UK/England)",NA,"Light","","Electric Blue Light","2/8/05"
"2/3/05 14:00","Tulum (Mexico)",NA,"Triangle","5 minutes","Photographic picture","2/14/06"
"2/1/05 20:20","Tartu (Estonia)",NA,"Triangle","15 seconds","Three triangle shaped lights moving really fast and dodging left,right.","2/24/05"
"1/30/05 19:30","Chiang Mai (Thailand)",NA,"Sphere","4-5 minutes","Orange sphere in skies above Chiang Mai","4/16/05"
"1/28/05 21:04","Johannesburg (South Africa)",NA,"Formation","10 minutes","5 objects in a straight line ,but very bright in color","2/8/05"
"1/28/05 19:30","Durban (South Africa)",NA,"Light","90 secs","Lights in formation flying over Mount Edgecombe South Africa","2/8/05"
"1/26/05 22:00","Limassol (Cyprus)",NA,"Flash","still ongoing","flash of light moving in different directions every three minutes near orion","1/27/05"
"1/25/05 21:45","Wellington (New Zealand)",NA,"Light","20 minutes","What i thought was a satellite over Porirua, Wellington, increased in speed and made zigzag and circular patterns.","2/8/05"
"1/25/05 10:00","Belize (during cruise)",NA,"Unknown","1 hour","on jan 25 2005 about ten at night we noticed bright lights that were very strange. ((NUFORC Note: Possible sighting of Sirius. PD))","2/8/05"
"1/20/05 04:45","Crowborough, East Sussex (UK/England)",NA,"Other","2 Min","Not quite sure what I saw but at 4.45am on morning of 21st January my wife and I were woken to the usual sound of Foxes in my back gard","1/27/05"
"1/19/05 00:45","Melbourne (Australia)",NA,"Light","10-10 minutes","3 bright lights seen overheard at different times above Port Phillip bay, Australia. Near Southern Cross and Big Dipper.","2/14/06"
"1/18/05 09:00","Cozumel (Mexico)",NA,"Other","photo","While on a cruise NCL Spirit before leaving the ship I saw the sun trying to break through the clouds I took a picture with ray coming","1/27/05"
"1/17/05 05:00","Helsinki (Finland)",NA,"Other","15seconds","Space Craft UFO seen on field for 15.sec.","1/19/05"
"1/15/05 23:00","Caboolture (Australia)",NA,"Light","5 seconds","A bright light flying very fast across the night sky heading in the east direction","1/19/05"
"1/15/05 22:35","Auckland (New Zealand)",NA,"Other","6-7 seconds","Huge wing shaped object, translucent white, moving very fast with no sound","1/19/05"
"1/14/05 23:00","Bangalore (India)",NA,"Light","1Minute","Red Blinking light that travelled at a good speed and made no Sound","1/19/05"
"1/13/05 07:20","Plymouth (UK/England)",NA,"Circle","1hour 45 mins","4large orbs and 2 small spent 1hour 45 minutes searching land and estuary near Plymouth and Devonport nuclear Submarine Base in Devon.","1/19/05"
"1/13/05 06:40","Liverpool (UK/England)",NA,"","10 seconds","flash, then bright streak","2/8/05"
"1/12/05 21:00","Sidcup (UK/England)",NA,"Cross","More than 1 hour","UFOS OVER SIDCUP, KENT, UK.","1/19/05"
"1/12/05 00:30","Pinar del Rio (Cuba)",NA,"Triangle","5 min.","the object was moving east at low speed and soundless","10/11/05"
"1/10/05 06:30","Shavat (Uzbekistan)",NA,"Light","About 30 seconds","I spotted a green light speeding in all directions in the skies of Uzbekistan.","11/28/07"
"1/10/05 01:22","Herzliya (Israel)",NA,"Light","5","Orange ball moving on the horizon with small stops in mid air along the way until it disappared","1/11/05"
"1/9/05 18:45","San Jose Villanueva (El Salvador)",NA,"Circle","30 min","a lot of ufo\"s folowing each other","1/11/05"
"1/9/05 18:25","Athens (Greece)",NA,"Formation","1 min","formation of lights moving","1/11/05"
"1/9/05 17:30","Oldbury (UK/England)",NA,"Triangle","3 MINUTES","Transparent Triangular object with no lights, but having circles at each corner.","2/14/06"
"1/7/05 18:40","Nairobi (Kenya)",NA,"Unknown","1 min. 30 sec.","Two orange flashes in the twilight sky within a few seconds of each other.","1/19/05"
"1/5/05 01:30","Bridlington (UK/England)",NA,"Flash","on/off for approximatly 2","Bridlington, England","2/8/05"
