"date","city","state","shape","duration","summary","posted"
"12/26/14 06:27","Shillong (India)",NA,"Light","3 minutes","Bright light moving slowly and disappearing into forest, seen from Meghalaya, India.","1/7/15"
"12/25/14 17:45","Coatbridge (UK/Scotland)",NA,"Light","5 minutes","At first I looked towards the sky at what I initially thought was a helicopter. On closer inspection the object did not move.it was the","1/7/15"
"12/25/14 00:00","Cabo San Lucas (Baja California)(Mexico)",NA,"Teardrop","25 minutes","Cabo San Lucas Christmas lights.","1/7/15"
"12/24/14 17:30","Keighley (UK/England)",NA,"Light","4 minutes","Please reply if other reports nr same time area PLEASE.","1/7/15"
"12/23/14 21:15","Korfu (Greece)",NA,"Sphere","45 minutes","1 big Light.","1/7/15"
"12/21/14 16:43","Nurnberg (Germany)",NA,"Disk","5 minutes","Circle, was flying very close to air plane, it is trying to Kidnap airplane. Otherwise what it is doing on the top of air plane.","3/6/15"
"12/20/14 18:20","Dhubri (India)",NA,"Changing","2 minutes","A BIG BRIGHT RED LIGHT SEEN IN THE SKY, CHANGED ITS SHAPE, AN UFO.","12/22/14"
"12/19/14 22:30","Camburi (Brazil)",NA,"Circle","10 seconds","Rotund whitish green light traveling and zigzagging then disappearing at a very fast speed.","12/22/14"
"12/18/14 20:30","Yokohama (Japan)",NA,"Formation","2 hours +","3 lights in the sky in Yokohama, Japan.","12/22/14"
"12/13/14 11:43","Texarkana",NA,"Triangle","1 minute","I was siting out side watching a meator shower and i looked up and saw a triangle shaped object hovering across the sky i hollerd over","12/18/14"
"12/12/14 06:30","Isle of Man (UK/England)",NA,"Light","2 seconds","Over the Isle of Man, very fast moving light, diving then zooming.","12/12/14"
"12/1/14 22:00","Bogota D.C. (Colombia)",NA,"Circle","40 minutes","Red disk with lights around flying in the sky.","12/5/14"
"12/1/14 06:50","Hearthill (UK/Scotland)",NA,"Light","5 minutes","Seen a light appearing then disappearing about 3x after disappearing for last time seen a light shooting across sky at super speed.","12/5/14"
"11/30/14 20:03","Mumbai (India)",NA,"Fireball","~8 minutes","Orange fireball with a bright square in the middle!","12/5/14"
"11/30/14 15:15","Miami",NA,"","1 hour","We saw 2 white parachute like object hovering in the skies. Well above regular airplane routes.
        
        They stayed up for about a good 20 m","12/5/14"
"11/27/14","",NA,"","5 seconds","It was an extremely bright white oval light that disappeared after 5 seconds.","12/5/14"
"11/26/14 19:30","Treasure Cay (Bahamas)",NA,"Fireball","5 seconds","Yellow ball of light, moving vertically down towards the sea.","12/5/14"
"11/25/14 02:45","Barnsley (UK/England)",NA,"Circle","3 minutes","4 different spherical lights of different colour. Rapidly moving.","11/26/14"
"11/24/14 05:30","Halol (India)",NA,"Diamond","15 seconds","ON 24 OCTOBER 2014 MORNING 5.30AM I SAW A UFO IN HALOL GUJARAT INDIA POSTAL CODE 389350, ITS LOOKS LIKE A STAR VERY FAST MOVING, I WAS","11/26/14"
"11/23/14 20:15","Manchester (UK/England)",NA,"Triangle","10 seconds","Staring up at the stars. Saw a black triangle (with some lights on each corner) move silently across the night.","11/26/14"
"11/21/14 02:30","Mysore (India)",NA,"Triangle","5 seconds","Dim big Lights at the corner of a dark triangle shaped object emiting lights for about 5 sec vanished suddenly.","11/21/14"
"11/18/14 18:00","Taranaki (New Zealand)",NA,"Circle","driving vehicle","UFO sighting in Taranaki","2/20/15"
"11/14/14 17:50","Sandy Point (St. Kitts)",NA,"Unknown","1/200th seconds","Photo reveals strange objects in sky.","12/5/14"
"11/12/14 00:00","Melbourne (Australia)",NA,"Sphere","5 seconds","Ok wow wow I would never believe this would happen to me wow I'm still in shock ,every night before bed I go out side for a cigarette a","11/14/14"
"11/11/14 11:00","Abu Dhabi",NA,"Disk","3-5 seconds","From a high-rise hotel in Abu Dhabi three eliptical/saucer-shaped UFO's are in 1 photo of many taken (11/11/14).","12/5/14"
"11/10/14 17:30","Cozumel (Mexico)",NA,"Circle","1 minute","Green orb with 5 white dots.","11/14/14"
"11/8/14 08:00","Mohammed Bin Zayed City (Abu Dhabi)(UAR)",NA,"Circle","7","Blue Green Circular object with spike-like white, moving to the left","11/14/14"
"11/7/14 21:00","Ahmedabad (India)",NA,"Circle","10 minutes","Dear team I had observed an UFO activity near my place yesterday. Lights were blinking of this object. For more than 10 minutes this ob","11/14/14"
"11/3/14 17:50","Eurodisney/Marne La Vallée (France)",NA,"Formation","1 minute","Formation of UFOs in the sky during Disney Parade at Eurodisney.","11/6/14"
"11/1/14 22:45","Bangalore (India)",NA,"Triangle","5-8 minutes","Unusual Intense Lights in Triangle formation and a dark triangular object in the in Bangalore, India on first nov 2014","11/6/14"
"10/28/14 20:30","Bangalore (India)",NA,"Triangle","10 seconds","Very dim group of lights shaped like V passing through the sky.","11/6/14"
"10/25/14 11:10","Tijuana (Mexico)",NA,"Light","10 minutes","I saw about 7 starlike objects at 11 am. Very static. One of them was orangeish. One of them moved at a very slow velocity.","11/6/14"
"10/25/14","",NA,"","","((HOAX)) I saw a strange lightning in the sky was green and blue lights in the sky I have a video as well so I just want to talk.","11/6/14"
"10/20/14 21:00","Louisville",NA,"Circle","1 minute","Ball of green light.","11/6/14"
"10/19/14 13:00","Coventry (UK/England)",NA,"Other","1-2 minutes","Craft appeared in the middle of the day, moving very quickly and vanishing after about a minute","11/6/14"
"10/18/14 23:30","Barcelona (Spain)",NA,"Unknown","2:00 minutes","Observed bright red object over the Barcelonetta area in Barcelona, Spain","11/6/14"
"10/16/14 20:18","Blackpool (UK/England)",NA,"Disk","1 hour","UFO sightings in the UK, Blackpool.","11/6/14"
"10/16/14 01:35","Bangalore (India)",NA,"Fireball","15 seconds","Red dot with yellow streak that appeared suddenly in the sky rising at a very steep inclination unlike regular aircrafts","11/6/14"
"10/7/14 18:39","Oxford (UK/England)",NA,"Light","1 minute","Five Lights in Clear Sky.","10/10/14"
"10/5/14 22:04","Amsterdam (Netherlands)",NA,"Fireball","3 minutes","Bright orange ball in the sky over Amsterdam, the Netherlands.","10/10/14"
"10/4/14 23:00","Little Rock",NA,"Circle","3 minutes","White circle reddish/orange outline with falling lights downwards to earth","10/10/14"
"10/4/14 22:30","Lisbon (Portugal)",NA,"Diamond","<3 minutes","40 small illuminated craft seen flying across river in Lisbon","10/10/14"
"10/4/14 19:00","São Sebastião SP (Brazil)",NA,"Disk","some minutes","OVNI noticed stationary for minutes in sotheastern Brazilian shore.","10/10/14"
"10/3/14 20:00","Swindon (UK/England)",NA,"Triangle","3-4 minutes","Triangular Craft seen at the Magic Roundabout Intersection","4/8/15"
"10/3/14 17:10","Italy",NA,"Cigar","-","Three objects, one large cigar shaped and 2 smaller, possible disc shaped. Clear sky.","11/6/14"
"10/2/14 21:00","Nuneaton (Warwickshire)(UK/England)",NA,"Circle","5 seconds","Three red glows in a straight line side by side. At low level, to my eye no more than three hundred feet, no noise","10/3/14"
"9/29/14","Vienna (Austria)",NA,"Circle","4 separate occasions","Circle/Glowing/Orb like, slow movement...bright lighting up and then .... Disappears.","10/3/14"
"9/28/14 17:30","Kerala (India)",NA,"Disk","15 second","UFO SIGHTING AT INDIA ON 28/08/2014 17:30	.","10/3/14"
"9/28/14 05:20","Gagnef (Sweden)",NA,"Unknown","30 seconds","Strange 3 lights in a row with flashing lights sighted","10/3/14"
"9/27/14 14:00","Khakassia (Russia)",NA,"Disk","","Disc in Russia 27 September 2014.","4/17/15"
"9/26/14 20:00","Oldham (UK/England)",NA,"Light","15 minutes","It was my nephews birthday and after the party myself and my sister and my daughter and my sisters partner were stood in a carpark and","10/3/14"
"9/25/14","Paris (probably) (France)",NA,"Light","2 seconds","UFO in video at TV news.","10/3/14"
"9/24/14 20:22","Balachaur (India)",NA,"Triangle","15 seconds","Suddenly, we saw a triangle shaped object moving in the sky with a speed of 50 km/hr..","10/10/14"
"9/20/14 19:45","Shenzhen (China)",NA,"Unknown","20 minutes","Unknown light object above evening night sky.","9/25/14"
"9/20/14 19:14","Venice (Italy)",NA,"Triangle","2 minutes","They are like birds, gold like a sun, like they are bird shape they are extremely fast and turning around each other.","9/25/14"
"9/20/14 18:00","Toshima (Japan)",NA,"Disk","00:03","Several disc shaped objects seen during photograph at Japanese train station in Tokyo.","9/25/14"
"9/18/14 02:08","Samba (Jammu)(India)",NA,"Other","13 minutes","I was sleeping suddenly i felt that somebody contact with me with my brain.i was sleeping at that moment ,i realize that somebody c","9/18/14"
"9/16/14 10:50","Pejë (Kosovo)",NA,"Other","50 seconds","((NUFORC Note: No information provided by witness. PD))","11/26/14"
"9/16/14 10:50","Pejë (Kosovo)",NA,"Cylinder","50 seconds","I can't tell something more about this what i saw but it was nnt flying so fast until i didn't saw it anymore.","9/18/14"
"9/14/14 16:00","Ludlow (UK/England)",NA,"Other","5 minutes","Let me get this straight I do not really believe in the paranormal or UFOs for that matter. However what i saw i could not rule out it","9/18/14"
"9/14/14 00:13","Tira (Israel; central area)",NA,"Triangle","30-50 seconds","Triangular shaped object, with no lights or sound, seen over Tira, Israel on September 14, 2014, Midnight.","9/18/14"
"9/13/14 23:45","Porto (Portugal)",NA,"Other","","There was a really big party in town with a lot of people and music.
        
        One man was starring at the sky and tried to take pictures of","10/3/14"
"9/10/14 03:00","Ranchi (Jharkhand) (India)",NA,"Other","1 hour","When seen through telescope, a bright object was seen emitting green, blue, red and white light, and it was revolving about an axis!","9/10/14"
"9/8/14 20:52","Zhujiang (Newtown; Guangzhou)(China)",NA,"Oval","~27 minutes","Unsual Object Sighted in Night Sky near the Huacheng Square, in Zhujiang Newtown, Guangzhou, China.","9/18/14"
"9/1/14 22:00","Paphos (Cyprus)",NA,"Circle","7 minutes","Bright colourful flashing disc at night.","9/5/14"
"8/30/14 21:00","Porirua (Titahi Bay)(New Zealand)",NA,"Formation","3-4 seconds","Westerly view from Titahi Bay, looking towards the moon at approx 9pm. One light (looked like a star) - speed across the horizon, i ass","8/31/14"
"8/29/14 21:21","Ubud (Indonesia)",NA,"Diamond","2 minutes","UFO over Bali.","8/29/14"
"8/27/14 21:00","Baguio City (Philippines)",NA,"Formation","2-3 minutes","Three groups of orange lights in different formations flying south at high speed over Baguio City, Philippines.","8/29/14"
"8/26/14 23:00","Peterborough (UK/England)",NA,"Formation","few seconds of movement","((HOAX??)) Formation 4 UFO's sighted in England.","9/5/14"
"8/26/14 18:00","Jakarta (Indonesia)",NA,"Triangle","1.5 hours","A flying light with triangle formation, Jakarta.","8/29/14"
"8/25/14 19:45","Delhi (India)",NA,"Oval","2 minutes","A strange light moved from north east to south east. The light was first blue but as it moved away it suddenly changed to red and then","8/29/14"
"8/24/14 00:30","Port Elizabeth (South Africa)",NA,"Changing","45 minutes","Ufo/moving stars/flashing strange colours/moving in formation.","8/29/14"
"8/23/14 23:44","Ireland (County of Kerry)",NA,"Circle","40 seconds","Bright lights, paranormal air craft, moving in light speed.","8/29/14"
"8/23/14 23:30","Northport",NA,"Unknown","60 seconds","Orange light over Suffolk county changes direction and disappears.","8/29/14"
"8/23/14 21:20","Richland",NA,"","2 minutes","White and red orb of light hovering over Tri-Cities.","8/29/14"
"8/23/14 18:00","Earth's Moon",NA,"","10 minutes","Possible Large Statues leading to Mons La Hire on the Moon.","8/29/14"
"8/23/14 00:30","Greece",NA,"Disk","3 minutes","Green and purple lights over Central Greece for 7 nights. ((NUFORC Note: Confirmed to be lens flares. PD))","8/31/14"
"8/19/14 23:00","Bangkok (Sukumwit)(Thailand)",NA,"Circle","1 day","((HOAX??)) The object has glowing.Next day I found no trace of object.It has white color.It has circle shape.it has 2 craft.","8/22/14"
"8/17/14 23:19","Jammu (India)",NA,"Light","1 minute","It looked like a Red Light ball comming from north of sky and in a span of 1 minute it went deep in clouds towards north east side","8/22/14"
"8/17/14 23:00","Waterford",NA,"Circle","5 minutes","UFO lands in field, 300 feet from me and 5 of my friends, too scared to investigate.","8/22/14"
"8/17/14 22:45","Cugy (Switzerland)",NA,"Fireball","20 seconds","Two fireballs passing quickly over my head to horizon.","8/22/14"
"8/17/14 22:00","Targu Neamt (Romania)",NA,"Light","2-3 minutes","Strange light fly the sky.","8/22/14"
"8/13/14 22:10","Sarajevo (Bosnia)",NA,"Formation","","Hi to all here I have been outside in city ilidza, Sarajevo, BOSNIA, and I watch the stars and from Mt. Igman.","8/15/14"
"8/12/14 22:35","Kaunas (Lithuania)",NA,"Formation","6-10 seconds","7 gray lights in the evening sky.","8/15/14"
"8/12/14 04:00","Leigh on Sea (UK/England)",NA,"Triangle","10 seconds","Stationary Lights in a triangle dimmed, then disappeared.","8/15/14"
"8/10/14 05:45","Conde-Bahia (Brazil)",NA,"Triangle","30 seconds","Triangular shape object in front of the sun.","8/15/14"
"8/9/14 22:00","Emerald Isle",NA,"Circle","2 minutes","Bright, round, orange ball suddenly appeared and drifted across sky from east to west before disappearing as quickly as it appeared","8/15/14"
"8/9/14 21:00","Warwick",NA,"","5 minutes","Large orange light moving slowly north in the sky. Got very bright and then just went out.","8/15/14"
"8/6/14 22:30","May Pen (Jamaica)",NA,"Light","~5 minutes","Unusually large orange ball of light seen.","8/8/14"
"8/4/14 20:40","Strumica (Macedonia)",NA,"Light","60 seconds","At first at around 20:30PM there was a light object, shining a constant white light, heading from west to east.
        
        That object might ha","8/8/14"
"8/3/14 21:30","London (Canada)",NA,"Fireball","<1 second","Streak of light or fire ball shooting down from sky less than 1 second.","8/8/14"
"8/2/14 18:00","Lebanon (Middle East)",NA,"Circle","9 seconds","Yellow dot moves slowly then accelerates and disappears instantly after throwing a white flare.","8/8/14"
"7/30/14 03:24","Fleetwood (UK/England)",NA,"Rectangle","1 minute","Looked star shape till zoomed in , then it was changing shape and changing to a mulititude of different colors.","8/8/14"
"7/29/14 11:15","St. Albans (UK/England)",NA,"Triangle","20 minutes","Three triangular craft with lights emitting from them tumbling in formation at high altitude and moving across sky in broad daylight.","8/1/14"
"7/29/14 01:05","Diamond Harbour (India)",NA,"Chevron","5 seconds","We went to a place 2 hours away from Kolkata, India called diamond harbour. We were on the terrace of our hotel at 1:00 am looking up.","8/1/14"
"7/28/14 05:30","Muswellbrook (Australia)",NA,"Other","1 minute","5-8 orange lights. Object was traveling fast and low and was barley visible, but it was there. It was strange that it was barley vi","8/1/14"
